order_date,customer,region,product,units_sold,unit_price,revenue,cost,profit
2025-05-26,Ananya Reddy,North,Delta,2,1601.79,3203.58,2605.9,597.68
2025-05-26,Karthik Singh,Central,Alpha,2,2074.09,4148.18,2906.64,1241.54
2025-05-26,Siddharth Mehta,Central,Beta,5,924.38,4621.9,3199.9,1422.0
2025-05-26,Neha Patel,Central,Delta,1,346.03,346.03,247.89,98.14
2025-05-26,Priya Joshi,East,Alpha,2,1307.67,2615.34,1385.33,1230.01
2025-05-26,Karthik Reddy,South,Beta,6,1583.72,9502.32,6162.04,3340.28
2025-05-26,Aditya Patel,Central,Alpha,1,878.35,878.35,475.7,402.65
2025-05-26,Rohan Singh,South,Gamma,2,212.84,425.68,277.85,147.83
2025-05-26,Arjun Reddy,East,Epsilon,2,2008.38,4016.76,2364.05,1652.71
2025-05-26,Aditya Mehta,East,Alpha,1,686.17,686.17,510.46,175.71
2025-05-26,Arjun Mehta,West,Delta,3,249.69,749.07,419.02,330.05
2025-05-26,Ananya Nair,North,Beta,2,551.69,1103.38,564.17,539.21
2025-05-26,Pooja Kumar,Central,Gamma,1,216.09,216.09,139.56,76.53
2025-05-26,Arjun Reddy,North,Epsilon,1,98.91,98.91,77.52,21.39
2025-05-26,Sakshi Singh,Central,Gamma,6,171.6,1029.6,807.74,221.86
2025-05-26,Rohan Joshi,North,Gamma,5,1950.97,9754.85,5658.06,4096.79
2025-05-27,Neha Patel,Central,Alpha,6,1725.51,10353.06,5662.14,4690.92
2025-05-27,Aarav Kumar,West,Delta,6,1480.39,8882.34,5842.97,3039.37
2025-05-27,Aishwarya Kumar,Central,Gamma,5,1036.07,5180.35,3483.35,1697.0
2025-05-27,Pooja Kumar,West,Gamma,1,278.9,278.9,154.28,124.62
2025-05-27,Sakshi Sharma,North,Beta,5,700.88,3504.4,1791.21,1713.19
2025-05-27,Pooja Mehta,North,Beta,2,1267.62,2535.24,1976.96,558.28
2025-05-27,Vivaan Mehta,Central,Alpha,2,626.04,1252.08,953.95,298.13
2025-05-27,Priya Patel,East,Alpha,3,999.06,2997.18,1537.07,1460.11
2025-05-27,Arjun Singh,North,Gamma,2,1690.28,3380.56,2160.2,1220.36
2025-05-27,Ananya Sharma,West,Beta,1,638.92,638.92,392.7,246.22
2025-05-27,Siddharth Nair,North,Delta,4,1116.42,4465.68,3397.95,1067.73
2025-05-27,Arjun Joshi,North,Alpha,3,816.82,2450.46,1744.78,705.68
2025-05-27,Aarav Iyer,East,Alpha,3,1477.34,4432.02,3522.61,909.41
2025-05-27,Pooja Gupta,North,Alpha,5,1947.77,9738.85,7333.49,2405.36
2025-05-27,Siddharth Kumar,North,Gamma,3,671.02,2013.06,1364.18,648.88
2025-05-27,Pooja Nair,South,Alpha,3,994.66,2983.98,1546.11,1437.87
2025-05-27,Arjun Reddy,East,Gamma,3,288.81,866.43,468.6,397.83
2025-05-27,Ananya Nair,West,Alpha,5,856.83,4284.15,3224.07,1060.08
